order_id,date,region,sales_channel,customer_segment,category,product_name,unit_price,quantity,discount_pct,discount_amount,revenue,cost,profit,profit_margin_pct,customer_satisfaction,returned
ORD-10042,2023-01-01,East,Online,Budget,Sports,Yoga Mat,395.97,1,20.0,79.19,316.78,260.26,56.52,17.84,4.0,False
ORD-10410,2023-01-02,North,Online,Budget,Home & Garden,Lamp,105.52,1,5.0,5.28,100.24,52.23,48.01,47.9,4.0,False
ORD-11005,2023-01-02,Central,Wholesale,Premium,Books,Novel,13.96,1,0.0,0.0,13.96,10.08,3.88,27.79,4.0,False
ORD-10816,2023-01-02,South,Retail,Budget,Home & Garden,Sofa,537.46,1,25.0,134.37,403.09,381.0,22.09,5.48,3.0,False
ORD-10935,2023-01-02,Central,Direct Sales,Budget,Beauty,Shampoo,65.24,1,5.0,3.26,61.98,32.52,29.46,47.53,3.0,False
ORD-11153,2023-01-03,North,Retail,Premium,Sports,Running Shoes,227.2,2,0.0,0.0,454.4,282.04,172.36,37.93,1.0,False
ORD-10209,2023-01-03,East,Direct Sales,Premium,Electronics,Headphones,686.2,1,0.0,0.0,686.2,350.99,335.21,48.85,4.0,False
ORD-10439,2023-01-03,North,Retail,Premium,Beauty,Lipstick,74.62,1,0.0,0.0,74.62,39.1,35.52,47.6,4.0,False
ORD-10465,2023-01-03,Central,Direct Sales,Standard,Home & Garden,Plant Pot,152.36,1,5.0,7.62,144.74,74.75,69.99,48.36,4.0,False
ORD-10136,2023-01-04,East,Wholesale,Standard,Clothing,Jeans,44.99,1,0.0,0.0,44.99,22.7,22.29,49.54,4.0,False
ORD-11137,2023-01-04,South,Retail,Standard,Books,Python Guide,41.78,1,10.0,4.18,37.6,20.66,16.94,45.05,2.0,False
ORD-10840,2023-01-04,North,Wholesale,Standard,Books,Self Help,38.39,1,5.0,1.92,36.47,22.91,13.56,37.18,2.0,False
ORD-10983,2023-01-04,West,Direct Sales,Premium,Sports,Running Shoes,379.84,2,15.0,113.95,645.73,386.58,259.15,40.13,2.0,False
ORD-10002,2023-01-04,West,Retail,Standard,Beauty,Sunscreen,94.16,1,10.0,9.42,84.74,42.95,41.79,49.32,3.0,False
ORD-10018,2023-01-04,North,Retail,Budget,Electronics,Tablet,633.93,1,5.0,31.7,602.23,449.41,152.82,25.38,2.0,True
ORD-10508,2023-01-05,East,Retail,Budget,Electronics,Tablet,1087.1,1,25.0,271.77,815.33,588.77,226.56,27.79,4.0,False
ORD-10743,2023-01-05,Central,Retail,Standard,Beauty,Face Cream,80.79,3,20.0,48.47,193.9,172.78,21.12,10.89,2.0,False
ORD-10945,2023-01-05,Central,Retail,Premium,Beauty,Perfume,90.89,2,20.0,36.36,145.42,97.59,47.83,32.89,4.0,False
ORD-10800,2023-01-06,East,Online,Standard,Books,Cook Book,38.17,1,0.0,0.0,38.17,27.08,11.09,29.05,5.0,False
ORD-11075,2023-01-06,North,Online,Premium,Home & Garden,Blender,189.25,1,20.0,37.85,151.4,102.89,48.51,32.04,5.0,False
ORD-10970,2023-01-06,East,Retail,Premium,Home & Garden,Sofa,102.7,2,10.0,20.54,184.86,149.02,35.84,19.39,3.0,True
ORD-10360,2023-01-07,West,Wholesale,Standard,Books,Cook Book,19.07,1,25.0,4.77,14.3,12.64,1.66,11.61,3.0,False
ORD-10110,2023-01-08,Central,Wholesale,Premium,Clothing,Dress,194.47,1,20.0,38.89,155.58,124.23,31.35,20.15,3.0,False
ORD-10643,2023-01-08,North,Retail,Budget,Books,Cook Book,54.51,1,0.0,0.0,54.51,25.55,28.96,53.13,2.0,False
ORD-10835,2023-01-09,East,Retail,Standard,Clothing,Jacket,198.1,2,15.0,59.43,336.77,222.44,114.33,33.95,3.0,False
ORD-10244,2023-01-09,Central,Direct Sales,Budget,Home & Garden,Coffee Maker,699.98,1,,175.0,524.98,498.67,26.31,5.01,4.0,True
ORD-10151,2023-01-10,North,Direct Sales,Budget,Beauty,Sunscreen,85.19,1,15.0,12.78,72.41,57.39,15.02,20.74,3.0,False
ORD-10386,2023-01-10,East,Online,Standard,Sports,Yoga Mat,474.67,1,5.0,23.73,450.94,218.75,232.19,51.49,2.0,False
ORD-10507,2023-01-10,East,Direct Sales,Premium,Sports,Bicycle,506.3,1,15.0,75.94,430.36,325.48,104.88,24.37,4.0,False
ORD-10730,2023-01-10,Central,Direct Sales,Budget,Home & Garden,Plant Pot,431.52,1,0.0,0.0,431.52,242.23,189.29,43.87,3.0,False
ORD-10059,2023-01-10,West,Wholesale,Premium,Books,Self Help,58.33,4,25.0,58.33,174.99,164.7,10.29,5.88,4.0,False
ORD-10517,2023-01-11,East,Direct Sales,Budget,Home & Garden,Plant Pot,246.77,2,5.0,24.68,468.86,238.76,230.1,49.08,3.0,False
ORD-10060,2023-01-11,North,Online,Premium,Clothing,T-Shirt,73.0,1,5.0,3.65,69.35,51.49,17.86,25.75,3.0,False
ORD-10784,2023-01-12,West,Retail,Standard,Electronics,Tablet,1224.93,1,20.0,244.99,979.94,805.65,174.29,17.79,3.0,True
ORD-10272,2023-01-12,East,Online,Budget,Home & Garden,Coffee Maker,34.92,1,0.0,0.0,34.92,22.18,12.74,36.48,3.0,False
ORD-11156,2023-01-12,West,Retail,Premium,Electronics,Laptop,991.33,1,15.0,148.7,842.63,685.53,157.1,18.64,3.0,False
ORD-10318,2023-01-13,South,Retail,Premium,Beauty,Sunscreen,112.64,1,20.0,22.53,90.11,74.88,15.23,16.9,4.0,False
ORD-10420,2023-01-13,East,Direct Sales,Premium,Beauty,Sunscreen,102.59,1,0.0,0.0,102.59,51.52,51.07,49.78,4.0,False
ORD-10037,2023-01-13,South,Retail,Premium,Sports,Yoga Mat,164.18,1,20.0,32.84,131.34,111.39,19.95,15.19,3.0,False
ORD-11071,2023-01-14,North,Direct Sales,Premium,Books,Python Guide,25.63,1,0.0,0.0,25.63,13.15,12.48,48.69,4.0,False
ORD-10721,2023-01-15,East,Wholesale,Standard,Books,Cook Book,47.42,3,0.0,0.0,142.26,82.54,59.72,41.98,3.0,False
ORD-10100,2023-01-15,West,Retail,Budget,Beauty,Face Cream,30.02,2,10.0,6.0,54.04,38.15,15.89,29.4,3.0,True
ORD-10704,2023-01-15,Central,Retail,Premium,Sports,Yoga Mat,419.13,1,15.0,62.87,356.26,195.72,160.54,45.06,4.0,False
ORD-10185,2023-01-15,South,Wholesale,Budget,Sports,Yoga Mat,376.59,1,0.0,0.0,376.59,268.0,108.59,28.84,5.0,False
ORD-10040,2023-01-15,Central,Direct Sales,Budget,Home & Garden,Sofa,277.0,1,15.0,41.55,235.45,128.04,107.41,45.62,5.0,False
ORD-11174,2023-01-15,North,Wholesale,Standard,Sports,Dumbbell Set,199.1,1,5.0,9.96,189.14,123.31,65.83,34.8,2.0,False
ORD-10595,2023-01-15,East,Direct Sales,Premium,Home & Garden,Plant Pot,260.67,1,0.0,0.0,260.67,156.45,104.22,39.98,4.0,False
ORD-10900,2023-01-15,South,Online,Premium,Home & Garden,Blender,154.14,1,20.0,30.83,123.31,114.27,9.04,7.33,5.0,False
ORD-10599,2023-01-16,East,Wholesale,Standard,Books,Python Guide,33.82,1,25.0,8.46,25.36,21.72,3.64,14.35,4.0,False
